Plant_Code	Vendor_Code	Vendor_Name	Vendor_Address	Active_Status
1300	130115	SHRI AMMAN ELECTRICALS	TINDIVANAM TALUK	TRUE
1210	130116	MICRON ENGINEERS	BANGALORE NORTH TALUK, BANGALORE	TRUE
1200	130116	MICRON ENGINEERS	BANGALORE NORTH TALUK, BANGALORE	TRUE
1300	130117	SGH AUTOMATION AND SOLUTIONS	BANGALORE, KARNATAKA	TRUE
1150	130117	SGH AUTOMATION AND SOLUTIONS	BANGALORE, KARNATAKA	TRUE
1300	130121	BABU LAL	GURGAON	TRUE
1150	130122	M.R.TRANSPORT	PADAPPAI,KANCHIPURAM.	TRUE
1150	130192	BE GROUPS LABOUR CONTRACT	CHENNAI	TRUE
1300	130193	TANISHKA ENGINEERING	PALWAL	TRUE
1150	130194	REMAK FACILITIES SERVICE	TIRUVALLUR	TRUE
1150	130201	SRI VENKATESHWARA ENGINEERING	CHENNAI	TRUE
1300	130205	GM ENTERPRISES	KORATTUR, CHENNAI	TRUE
1300	130206	SHRIVIK	CHENNAI	TRUE
1300	130207	AUTO INTERNATIONAL (INDIA )	SRIPERUMBUDUR TALUK,KANCHEEPURAM	TRUE
1150	130207	AUTO INTERNATIONAL (INDIA )	SRIPERUMBUDUR TALUK,KANCHEEPURAM	TRUE
1250	130207	AUTO INTERNATIONAL (INDIA )	SRIPERUMBUDUR TALUK,KANCHEEPURAM	TRUE
1250	130208	DISTIL EDUCATION & TECHNOLOGY	DWARKA, NEW DELHI	TRUE
1150	130276	ASIAAN METALS & ALUMINIUM	BANGALORE	TRUE
1300	130276	ASIAAN METALS & ALUMINIUM	BANGALORE	TRUE
1150	130277	AADITHYA INDUSTRIES	MARAI MALAI NAGAR, KANCHIPURAM	TRUE
1210	130278	MIKRO INNOTECH INDIA	PUNE	TRUE
1200	130278	MIKRO INNOTECH INDIA	PUNE	TRUE
1300	130279	SRI BALAJI CONSTRUCTION	CHENNAI	TRUE
1150	130279	SRI BALAJI CONSTRUCTION	CHENNAI	TRUE
1150	130288	GOKUL AUTOTECH PVT.LTD	CHENNAI	TRUE
1300	130288	GOKUL AUTOTECH PVT.LTD	CHENNAI	TRUE
1200	130315	ATEM EPOXY FLOORING SYSTEMS	BANGALORE	TRUE
1150	130316	CIRCLIPS TECHNOLOGIE PVT. LTD.	VALSAD	TRUE
1300	130316	CIRCLIPS TECHNOLOGIE PVT. LTD.	VALSAD	TRUE
1250	130318	PARUL FOUNDRY PRIVATE LIMITED	U.S.NAGAR	TRUE
1300	130319	SRIMUKHA PRECISION PRODUCTS	CHENNAI	TRUE
1300	130320	MATHEN J MULK	CHENNAI	TRUE
1300	130321	EVET AUTOMATION	MORBI	TRUE
1300	130330	ALTRON POWER EQUIPMENTS	CHENNAI	TRUE
1300	130331	POWER ENGINEERING SERVICE	NAMAKKAL	TRUE
1300	130332	ELAMURUGAN PRINT	LAWSPET	TRUE
1300	130333	R. RAJASEKARAN	PUDUCHERRY	TRUE
1150	130337	USK HYDRAULICS AND ENGINEERING	CHENNAI	TRUE
1150	130339	AVANT GARDE ENTERPRISES	CHENNAI	TRUE
1200	130348	SUNTEK AXPRESS  INDIA PRIVATE	MYSORE	TRUE
1150	130349	ALLIZWELL MEDNEEDS	CHENNAI	TRUE
1250	130350	SHRI BALAJI ROOFING SYSTEMS	HALDWANI	TRUE
1300	130351	ROHTAS FASTNERS PVT. LTD.	ISMAILA - ROHTAK	TRUE
1210	130351	ROHTAS FASTNERS PVT. LTD.	ISMAILA - ROHTAK	TRUE
1200	130351	ROHTAS FASTNERS PVT. LTD.	ISMAILA - ROHTAK	TRUE
1150	130351	ROHTAS FASTNERS PVT. LTD.	ISMAILA - ROHTAK	TRUE
1250	130351	ROHTAS FASTNERS PVT. LTD.	ISMAILA - ROHTAK	TRUE
1200	130373	TATA COMMUNICATION LIMITED	BANGALORE	TRUE
1300	130374	TATA COMMUNICATIONS LIMITED	Puducherry	TRUE
1250	130375	TATA COMMUNICATIONS LIMITED	DEHRADUN	TRUE
1150	130383	CLUSTER TECHNOLOGIES	CHENNAI	TRUE
1150	130392	RV FORMS AND GEARS LLP	GUINDY, CHENNAI	TRUE
1300	130393	SRI PONDY FIRE AND SAFETY	PUDUCHERRY	TRUE
1150	130393	SRI PONDY FIRE AND SAFETY	PUDUCHERRY	TRUE
1300	130394	BALAJI ENGINEERING SERVICES	CHENNAI	TRUE
1150	130395	VELAN ENGINEERING WORKS	AMBATTUR, CHENNAI	TRUE
1300	130395	VELAN ENGINEERING WORKS	AMBATTUR, CHENNAI	TRUE
1150	130396	FRONTLINE INDUSTRIAL SOLUTION	KUNDRATHUR, KANCHIPURAM	TRUE
1200	130396	FRONTLINE INDUSTRIAL SOLUTION	KUNDRATHUR, KANCHIPURAM	TRUE
1210	130396	FRONTLINE INDUSTRIAL SOLUTION	KUNDRATHUR, KANCHIPURAM	TRUE
1300	130396	FRONTLINE INDUSTRIAL SOLUTION	KUNDRATHUR, KANCHIPURAM	TRUE
